City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
272,Meulaboh,ID,76.75,moderate rain,4.1363,96.1285,Kost Pria
275,Georgetown,MY,84.15,few clouds,5.4112,100.3354,Cititel Penang
276,Paducah,US,79.2,clear sky,37.0834,-88.6001,"Holiday Inn Paducah Riverfront, an IHG Hotel"
277,Vanimo,PG,77.2,few clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
281,Mwinilunga,ZM,86.04,overcast clouds,-11.7358,24.4293,Kwakuwahi Lodge
283,Nakamura,JP,78.51,light rain,32.9833,132.9333,Hotel Crown Hills Nakamura
285,Fort Myers Beach,US,84.02,overcast clouds,26.452,-81.9481,Lani Kai Island Resort
291,Atenas De San Cristobal,HN,86.07,overcast clouds,15.6833,-87.3167,Hotelito Posada del Valle
298,Alofi,NU,76.24,clear sky,-19.0595,-169.9187,Taloa Heights
302,Mbanza-Ngungu,CD,83.43,overcast clouds,-5.25,14.8667,Hotel Full Business
303,Carutapera,BR,82.17,overcast clouds,-1.195,-46.02,Lidera
304,Netanya,IL,84.22,clear sky,32.3329,34.8599,King Koresh Hotel
305,Kavieng,PG,81.77,light rain,-2.5744,150.7967,Nusa Island Retreat
307,Camabatela,AO,77.86,overcast clouds,-8.1881,15.375,Comércio e Prestação de Serviços
310,Kulhudhuffushi,MV,81.61,scattered clouds,6.6221,73.07,Haajy Guest House 1
311,Victoria,HK,87.85,scattered clouds,22.2855,114.1577,Mini Central
314,Ixtapa,MX,82.22,overcast clouds,20.7,-105.2,hotel la terminal
318,Oistins,BB,87.89,few clouds,13.0667,-59.5333,Butterfly Beach Hotel
323,Sampit,ID,75.76,broken clouds,-2.5333,112.95,Aquarius Boutique Hotel Sampit
326,Harper,LR,79.68,broken clouds,4.375,-7.7169,Screensaver
328,Biak,ID,75.13,overcast clouds,-0.9131,122.8766,Penginapan Kim
333,Pangkalanbuun,ID,75.79,overcast clouds,-2.6833,111.6167,Grand Kecubung Hotel
336,Aguada De Pasajeros,CU,88.61,scattered clouds,22.385,-80.8508,CASA MAMÁ
337,Basavana Bagevadi,IN,76.95,overcast clouds,16.5833,75.9667,Shivakumar hulasur home
339,Hasaki,JP,77.4,overcast clouds,35.7333,140.8333,Inubosaki Kanko Hotel
340,Kastrakion,GR,88.32,few clouds,39.7156,21.6181,Dellas Boutique Hotel
345,Sola,VU,80.62,few clouds,-13.8833,167.55,Leumerus Bungalows
346,Barra,BR,89.28,broken clouds,-11.0894,-43.1417,Pousada Bahia
349,Ormara,PK,80.87,clear sky,25.2088,64.6357,Kenara Colony House for Rent
350,Morondava,MG,76.48,clear sky,-20.2833,44.2833,La Case Bambou
361,Jammalamadugu,IN,87.19,scattered clouds,14.8333,78.4,R and B Guest House
362,Xianshuigu,CN,77.0,clear sky,38.985,117.3828,Guangchuan Hotel
363,Lata,PT,88.07,broken clouds,40.1629,-8.3327,Casa Maquia
370,Kloulklubed,PW,84.47,broken clouds,7.0419,134.2556,Storyboard Beach Resort
372,Kalaleh,IR,80.17,clear sky,37.3807,55.4916,کلاله
373,Rayagada,IN,77.18,broken clouds,19.1667,83.4167,"Hotel Swagath, Rayagada"
377,Miyakonojo,JP,79.56,moderate rain,31.7333,131.0667,Miyakonojo Sun Plaza Hotel
379,Bud,US,77.76,broken clouds,39.447,-86.1758,Ted McQuinn Trust
385,Madinat Sittah Uktubar,EG,89.2,clear sky,29.8167,31.05,Happy Kennel Academy
386,Mahbubabad,IN,77.27,overcast clouds,17.6167,80.0167,District Collector Residence
390,Hangu,CN,77.04,clear sky,39.2489,117.7892,Chongli Xuexiang Family Express Inn
394,Axim,GH,81.36,broken clouds,4.8699,-2.2405,Axim Beach Resort And Spa
401,Leo,BF,84.06,light rain,11.1,-2.1,Hotel Sissilis
402,Hilton Head Island,US,80.71,clear sky,32.2163,-80.7526,Disney’s Hilton Head Island Resort
406,Phanat Nikhom,TH,86.31,overcast clouds,13.4458,101.1844,I-Destiny Gallery Resort
409,Muros,ES,79.16,overcast clouds,42.7762,-9.0603,Apartment Av. Castelao
411,Yamethin,MM,76.44,overcast clouds,20.4333,96.15,အလင်းရောင် ဘက်ထရီ
415,Lavumisa,SZ,77.86,scattered clouds,-27.31,31.892,ROADSIDE B&B
416,Sibu,MY,75.13,overcast clouds,2.3,111.8167,RH HOTEL (4 Star)
423,Labuhan,ID,80.98,broken clouds,-6.8844,112.2051,DoubleFAG
429,Sun City West,US,84.27,clear sky,33.662,-112.3413,Windmill All Suites Surprise
431,Erdemli,TR,85.41,clear sky,36.605,34.3084,Sun Rice Otel
433,Tabou,CI,79.34,broken clouds,4.423,-7.3528,hotêl doufoulougou
435,Ravar,IR,85.01,clear sky,31.2656,56.8055,computertik
445,Male,MV,81.32,clear sky,4.1748,73.5089,Hotel Octave Maldives
448,Santa Rosa,PH,81.1,overcast clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
449,Kumluca,TR,85.06,clear sky,36.3703,30.2869,Akkol Apart
450,Wyndham,US,76.68,clear sky,37.6985,-77.6125,Hilton Richmond Hotel & Spa/Short Pump
453,Patawag,PH,79.02,broken clouds,8.1064,122.6208,Banigan Beach
455,Pilar,BR,81.34,scattered clouds,-9.5972,-35.9567,Pousada e churrascaria Manguaba
458,Komsomolskiy,UZ,75.92,scattered clouds,40.4272,71.7189,Ikathouse
