City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
128,Petrove,UA,48.3247,33.2562,65.17,83,100,5.99,moderate rain
129,Tasiilaq,GL,65.6145,-37.6368,35.76,97,100,15.14,light rain
130,Harlingen,US,26.1906,-97.6961,86.94,90,64,8.25,broken clouds
131,Faya,SA,18.3851,42.4509,75.31,55,89,6.13,overcast clouds
132,Gombong,ID,-7.6072,109.5142,76.78,86,100,4.32,overcast clouds
133,Opuwo,NA,-18.0607,13.84,91.27,10,1,3.38,clear sky
134,Myitkyina,MM,25.3833,97.4,75.34,97,39,1.12,scattered clouds
135,Vostok,RU,46.4856,135.8833,52.72,98,100,2.64,overcast clouds
136,Kaitangata,NZ,-46.2817,169.8464,39.92,93,65,4.23,broken clouds
137,Ouricuri,BR,-7.8825,-40.0817,91.56,23,23,5.86,few clouds
138,Laibin,CN,23.7,109.2667,82.85,68,18,2.86,few clouds
139,Kibala,TD,9.1104,18.3463,76.95,94,40,2.3,light rain
140,Saint-Philippe,RE,-21.3585,55.7679,71.19,83,38,14.07,light rain
141,Mayumba,GA,-3.432,10.6554,75.09,84,100,10.89,light rain
142,Taltal,CL,-25.4,-70.4833,59.74,66,0,6.15,clear sky
143,Srandakan,ID,-7.9386,110.2506,77.27,82,100,6.78,overcast clouds
144,Bajos De Haina,DO,18.4154,-70.0332,88.32,74,40,9.22,scattered clouds
145,Castro,BR,-24.7911,-50.0119,58.95,60,35,10.07,scattered clouds
146,Nandu,CN,22.8525,110.8233,77.81,82,14,3.42,few clouds
147,Hovd,MN,48.0056,91.6419,46.8,47,87,5.37,overcast clouds
148,Naze,JP,28.3667,129.4833,77.92,88,100,39.19,overcast clouds
149,Birao,CF,10.2849,22.7882,72.73,93,100,2.33,overcast clouds
150,Kudahuvadhoo,MV,2.6708,72.8944,82.06,68,83,6.11,broken clouds
151,Airai,TL,-8.9266,125.4092,60.48,65,94,1.61,overcast clouds
152,Petukhovo,RU,55.0692,67.9019,53.51,37,4,10.07,clear sky
153,Mosetse,BW,-20.75,26.65,87.08,11,0,2.42,clear sky
154,San Patricio,US,28.017,-97.5169,88.86,65,2,8.57,clear sky
155,Bambous Virieux,MU,-20.3428,57.7575,72.21,78,40,13.8,light rain
156,Kahului,US,20.8947,-156.47,75.85,78,0,1.99,clear sky
157,Katsuura,JP,35.1333,140.3,78.96,87,100,11.32,overcast clouds
158,Vardo,NO,70.3705,31.1107,46.38,93,100,25.32,light intensity shower rain
159,Pangnirtung,CA,66.1451,-65.7125,44.6,70,75,2.3,broken clouds
160,Olafsvik,IS,64.8945,-23.7142,48.2,76,98,7.34,overcast clouds
161,Yenagoa,NG,4.9247,6.2642,81.39,75,98,7.94,moderate rain
162,Mahebourg,MU,-20.4081,57.7,72.25,78,40,13.8,scattered clouds
163,Guilin,CN,25.2819,110.2864,78.91,66,2,1.36,clear sky
164,Smithville,US,39.3869,-94.5811,77.86,72,57,9.42,light rain
165,Mirnyy,RU,62.5353,113.9611,30.24,86,40,7.0,scattered clouds
166,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,36.19,93,40,0.0,scattered clouds
167,Bagan,RU,54.1001,77.6646,51.39,60,17,7.99,few clouds
168,Touros,BR,-5.1989,-35.4608,85.08,57,40,14.05,scattered clouds
169,La Ronge,CA,55.1001,-105.2842,50.25,81,75,3.44,broken clouds
170,Manavalakurichi,IN,8.1333,77.3,79.11,85,87,14.56,overcast clouds
171,Port Lincoln,AU,-34.7333,135.8667,54.52,77,100,16.89,overcast clouds
172,Vzmorye,RU,54.6961,20.2361,55.99,78,21,8.28,few clouds
173,Clovis,US,36.8252,-119.7029,69.84,66,0,0.0,clear sky
174,Iquique,CL,-20.2208,-70.1431,60.84,61,1,8.34,clear sky
175,Kirkkonummi,FI,60.1238,24.4385,57.11,92,63,2.53,broken clouds
176,Aykhal,RU,66.0,111.5,26.6,94,97,24.34,light snow
177,Berlevag,NO,70.8578,29.0864,46.4,87,100,27.63,overcast clouds
178,Orotukan,RU,62.2667,151.7,33.12,67,0,6.15,clear sky
179,Kenora,CA,49.8167,-94.4337,54.57,100,100,5.75,light intensity drizzle
180,Planaltina,BR,-15.4528,-47.6142,90.0,22,1,5.84,clear sky
181,Tyup,KG,42.7276,78.3648,55.63,35,100,7.05,overcast clouds
182,Provideniya,RU,64.3833,-173.3,45.25,91,100,11.59,overcast clouds
183,Mandalgovi,MN,45.7625,106.2708,42.08,59,28,10.02,scattered clouds
184,Lorengau,PG,-2.0226,147.2712,81.41,76,71,5.91,broken clouds
185,Isangel,VU,-19.55,169.2667,72.82,86,33,10.78,scattered clouds
186,Los Llanos De Aridane,ES,28.6585,-17.9182,76.75,86,20,13.8,few clouds
187,Vigeland,NO,58.0844,7.305,66.42,55,0,11.83,clear sky
188,Saskylakh,RU,71.9167,114.0833,34.21,91,100,14.45,overcast clouds
189,East London,ZA,-33.0153,27.9116,65.34,72,20,6.91,few clouds
190,Aripuana,BR,-9.1667,-60.6333,102.22,25,27,1.59,scattered clouds
191,Lavrentiya,RU,65.5833,-171.0,43.02,96,100,22.91,light rain
192,San Andres,CO,12.5847,-81.7006,86.02,74,100,4.61,overcast clouds
193,Souillac,MU,-20.5167,57.5167,71.98,78,40,13.8,light rain
194,Camacha,PT,33.0833,-16.3333,76.42,73,40,16.11,scattered clouds
195,Pundaguitan,PH,6.3711,126.1689,84.15,73,100,12.26,overcast clouds
196,Bengkulu,ID,-3.8004,102.2655,76.3,88,97,4.07,overcast clouds
197,Kangaatsiaq,GL,68.3065,-53.4641,40.73,77,100,12.68,overcast clouds
198,Sioux Lookout,CA,50.1001,-91.917,53.67,100,100,4.61,mist
199,Parbhani,IN,19.2667,76.7833,77.58,78,57,6.98,moderate rain
200,Husavik,IS,66.0449,-17.3389,44.8,72,100,3.02,overcast clouds
201,Nelson Bay,AU,-32.7167,152.15,62.1,58,2,13.0,clear sky
202,Namatanai,PG,-3.6667,152.4333,78.75,75,99,7.76,overcast clouds
203,Teahupoo,PF,-17.8333,-149.2667,67.96,81,62,22.39,light rain
204,Darnah,LY,32.767,22.6367,78.58,62,0,11.48,clear sky
205,Zholymbet,KZ,51.7433,71.7122,52.63,45,0,9.42,clear sky
206,Saint George,US,37.1041,-113.5841,63.19,72,0,0.0,clear sky
207,Klaksvik,FO,62.2266,-6.589,52.72,72,100,5.57,overcast clouds
208,Mokhotlong,LS,-29.2894,29.0675,65.55,25,100,17.47,overcast clouds
209,Sobolevo,RU,54.4299,31.8996,56.23,53,100,9.48,overcast clouds
